company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
Fantasy Akhada,2020.0,Gurugram,Sports,Fantasy Akhada is one of India's fastest growing Fantasy Sports Platform.,"Amit Purohit, Sumit Kumar Jha",Prime Securities Limited,2000000.0,Series A,9,2021
Meesho,2015.0,Bengaluru,Social Commerce,Meesho is India’s largest marketplace for longtail products.,"Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",570000000.0,Unknown,9,2021
PumPumPum,2018.0,Gurugram,Automotive,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,Tarun Lawadia,LC Nueva AIF,undisclosed,Unknown,9,2021
Cusmat,2016.0,Hyderabad,Computer Software,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000.0,Pre-Series A,9,2021
Homeville,2017.0,Mumbai,Information Technology & Services,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",7000000.0,Unknown,9,2021
Coinshift,2021.0,Chandigarh,Blockchain,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal",2500000.0,Seed,9,2021
Strip Finance,2021.0,Hyderabad,Financial Services,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",400000.0,Seed,9,2021
Ola Electric,2017.0,Bengaluru,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000.0,Unknown,9,2021
Kolo,2020.0,Bengaluru,Construction,Home construction app for finding ideas and service providers near you,"Pranav Garg, Jery Althaf",Better Capital,550000.0,Pre-Seed,9,2021
Chqbook,2017.0,Gurugram,Fintech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",5000000.0,Pre-Series B,9,2021
My3DSelfie,2016.0,Guwahati,Arts & Crafts,World's first to create 3d figurine from photos,Harsha P Deka,"NEVF, AccelNest",undisclosed,Pre-Series A,9,2021
EV Plugs,2021.0,Gurugram,Information Technology & Services,EV charging station aggregator platform,"Manish Narang, Kapil Narang, Ashwani Arora",,150000.0,Unknown,9,2021
Rulezero,2019.0,Bengaluru,Financial Services,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.","Satish Mugulavalli, Srinivas Katta",The Treasury,2500000.0,Seed,9,2021
CredRight,2016.0,Hyderabad,Financial Services,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",2700000.0,Unknown,9,2021
Karbon Card,2019.0,Bengaluru,Fintech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",12000000.0,Pre-Series A,9,2021
Auntie Fung,2015.0,Bengaluru,Food & Beverages,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,400000.0,Unknown,9,2021
ePayLater,2015.0,Mumbai,Financial Services,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",10000000.0,Series B,9,2021
Fittr,2016.0,Pune,"Health, Wellness & Fitness","FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",11000000.0,Series A,9,2021
Medikabazaar,2014.0,Mumbai,Healthtech,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.","Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",75000000.0,Series C,9,2021
Nimble Growth Organics,2016.0,Bengaluru,Farming,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,"Rahul Saria, Nagendra Kalkuli, Abhisek Bhagchandka, Pradeep Kumar ML",,undisclosed,Seed,9,2021
Delhivery,2011.0,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",125000000.0,Unknown,9,2021
Akudo,2020.0,Bengaluru,Financial Services,A Learning-First Neobank for teenagers - Enable practical financial education for child today,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000.0,Seed,9,2021
Sanctum Wealth,2016.0,Mumbai,Investment Management,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,Shiv Gupta,The Xander Group,10000000.0,Unknown,9,2021
88academics,2018.0,New Delhi,E-Learning,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil Ahuja,Aarin Capital,3000000.0,Pre-Series A,9,2021
Upgame,2017.0,Gurugram,Sports,Upgame is the leading data intelligence and practice tracking platform for golfers,Sameer Sawhney,"James Milner, Adam Lallana",undisclosed,Unknown,9,2021
Sanfe,2018.0,New Delhi,"Health, Wellness & Fitness",India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000.0,Series A,9,2021
PredictiVu,2020.0,Gurugram,Management Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",,Kunal Sarkar,1500000.0,Pre-Seed,9,2021
Sterling Accuris Wellness,2016.0,Ahmedabad,Hospital & Health Care,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",Girish Patel,Morgan Stanley Private Equity Asia,30000000.0,Unknown,9,2021
Bijnis,2015.0,New Delhi,B2B,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,30000000.0,Series B,9,2021
Capital Float,2013.0,Bengaluru,Financial Services,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,"Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,50000000.0,Unknown,9,2021
Manch Technologies,2017.0,Bengaluru,Information Technology & Services,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Suresh Anantpurkar,Bharat Inclusion,1000000.0,Pre-Series A,9,2021
Sochcast,2020.0,,Online Media,Sochcast is an Audio experiences company that give the listener and creators an Immersive Audio experience,"CA Harvinderjit Singh Bhatia, Garima Surana, Anil Srivatsa","Vinners, Raj Nayak, Amritaanshu Agrawal",undisclosed,Unknown,9,2021
Glamyo Health,2019.0,New Delhi,Hospital & Health Care,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,3000000.0,Series A,9,2021
CashBook,2020.0,Gurugram,Fintech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",2300000.0,Seed,9,2021
The Money Club,2016.0,Noida,Financial Services,The Money Club is a mobile platform for peer to peer chit funds.,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",1700000.0,Pre-Series A,9,2021
SuperZop,2016.0,Mumbai,Retail,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,4000000.0,Series A,9,2021
Zypp Electric,2017.0,Gurugram,Logistics & Supply Chain,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures",7000000.0,Series A,9,2021
Alpha Coach,2021.0,Mumbai,Professional Training & Coaching,One to One Personal Fitness Coaching,Ketan Mavinkurve,Jani Ventures INC,1200000.0,Unknown,9,2021
VRO Hospitality,2018.0,Bengaluru,Hospitality,One of the fastest-growing hospitality companies based out of Bangalore.,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,3000000.0,Series A,9,2021
byteXL,2019.0,Hyderabad,E-Learning,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.","Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,200000.0,Unknown,9,2021
Leena AI,2015.0,Gurugram,Computer Software,AI to help enterprises transform the employee experience.,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,30000000.0,Series B,9,2021
CARS24,2015.0,Gurugram,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",450000000.0,Series F,9,2021
Klub,2019.0,Bengaluru,Financial Services,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.","Anurakt Jain, Ishita Verma",Trifecta Capital,2000000.0,Debt,9,2021
Bluepad,2020.0,Bengaluru,Online Media,A one-stop solution for aggregated content in vernacular languages,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate",200000.0,Pre-Seed,9,2021
FloBiz,2019.0,Bengaluru,Information Technology & Services,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,"Rahul Raj, Aditya Naik, Rakesh Yadav",Sequoia Capital India,31000000.0,Series B,9,2021
Tummoc,2016.0,Bengaluru,Mobility,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim",540000.0,Seed,9,2021
Design Cafe,2015.0,Bengaluru,Design,Design Cafe is on a mission to democratize good design for homes in India.,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures",25000000.0,Unknown,9,2021
PayCardo,2021.0,Pune,Financial Services,A true Contactless & Cashless and secure payment system reducing cash dependency,"Vivek Kumar Choubey, Vivek Kumar",MaGEHold,undisclosed,Pre-Seed,9,2021
Aerchain,2019.0,Bengaluru,Computer Software,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",3000000.0,Pre-Series A,9,2021
Expertrons,2019.0,Mumbai,E-Learning,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solanki, Vivek Gupta","Kunal Shah, Anant Maheshwari",undisclosed,Unknown,9,2021
CuriousJr,2020.0,Gurugram,E-Learning,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",1000000.0,Seed,9,2021
Wow! Momo,2008.0,Kolkata,Food & Beverages,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,15000000.0,Series C,9,2021
Supertails,2021.0,Bengaluru,Consumer Services,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,700000.0,Unknown,9,2021
LifeCell,2004.0,Chennai,Biotechnology,A building block of the team that preserves the building blocks of life,S. Abhaya Kumar,Orbimed Asia Partners,30000000.0,Unknown,9,2021
ZestMoney,2015.0,Bengaluru,Financial Services,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.","Priya Sharma, Lizzie Chapman",Zip Co,50000000.0,Series C,9,2021
FrontRow,2020.0,Bengaluru,E-Learning,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!","Shubhadit Sharma, Mikhil Raj, Ishaan Preet Singh","Eight Roads Ventures, GSV",14000000.0,Series A,9,2021
HappyCredit,2020.0,Bengaluru,Fintech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar",600000.0,Pre-Seed,9,2021
Endimension,2018.0,Mumbai,Healthcare,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,300000.0,Seed,9,2021
Frenzi,2020.0,Mumbai,Online Media,India’s Fastest Growing Streaming Social Network,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,undisclosed,Seed,9,2021
Leverage Edu,2017.0,New Delhi,Higher Education,India's Most Trusted Study Abroad Platform,Akshay Chaturvedi,"Vijay Shekhar Sharma, Rohit Kapoor, Amanpreet Bajaj, Lalit Singh",undisclosed,Unknown,9,2021
BeepKart,2020.0,Bengaluru,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",3000000.0,Seed,9,2021
Lio,2020.0,Pune,Computer Software,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa",5000000.0,Seed,9,2021
TravClan,2018.0,New Delhi,B2B Travel,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun Bagaria, Ashish Thapliyal",TheVentures,2200000.0,Pre-Series A,9,2021
WickedGud,2021.0,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",340000.0,Pre-Seed,9,2021
Enercomp,2013.0,Ahmedabad,Information Technology & Services,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,SURESH SHAHDADPURI,ah! Ventures,200000.0,Unknown,9,2021
BetterPlace,2014.0,Bengaluru,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.",Pravin Agarwala,"Jungle Ventures, CX Partners",24000000.0,Series C,9,2021
Medpho,2021.0,Noida,Hospital & Health Care,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",1000000.0,Unknown,9,2021
LivQuik Technology,2012.0,Mumbai,Financial Services,LivQuik’s vision is to enable the efficient movement of money.,Mohit Lalvani,M2P Fintech,4000000.0,Unknown,9,2021
EventBeep,2019.0,Pune,Edtech,An inclusive community where students are inspired and empowered to reach their full potential,"Saurabh Mangrulkar, Rakhi Pal, Venkatesh Prasad","SucSEED Indovation Fund, Uincept, Palimala Ventures",unavailable,Unknown,9,2021
GTM Buddy,2020.0,Hyderabad,Computer Software,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,2000000.0,Seed,9,2021
Gobbly,2019.0,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",900000.0,Pre-Series A,9,2021
HexaHealth,2019.0,Mumbai,Healthtech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",4500000.0,Seed,9,2021
Eupheus Learning,2017.0,New Delhi,E-Learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000.0,Series C,9,2021
Easiloan,2020.0,Mumbai,Fintech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000.0,Unknown,9,2021
Anar,2019.0,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000.0,Seed,9,2021
Shadez,2019.0,Mumbai,Consumer Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,200000.0,Pre-Series A,9,2021
Vahan,2016.0,Bengaluru,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,8000000.0,Series A,9,2021
MPL,2018.0,Bengaluru,Sports,"Mobile Premier League (MPL), is India’s largest eSports and mobile gaming platform, with over 50+ games on its app on iOS and Android, and over 60 million users in India.","Sai Srinivas Kiran GV, Shubh Malhotra",Legatum Capital,unavailable,Series E,9,2021
Tinkerly,2015.0,Jaipur,Edtech,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,800000.0,Unknown,9,2021
Godamwale,2016.0,Mumbai,Logistics & Supply Chain,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",,1000000.0,Seed,9,2021
Artium Academy,2021.0,Mumbai,Music,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",750000.0,Seed,9,2021
Awon GameZ,2020.0,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,2000000.0,Seed,9,2021
Ayu Health,2019.0,Bengaluru,"Health, Wellness & Fitness",Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000.0,Series A,9,2021
Apna,2019.0,Bengaluru,Recruitment,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,100000000.0,Series C,9,2021
BharatAgri,2017.0,Bengaluru,Agritech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",6500000.0,Series A,9,2021
Flatheads,2018.0,Bengaluru,Apparel & Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels",1000000.0,Pre-Series A,9,2021
Boutique Spirit Brands,2016.0,New Delhi,Wine & Spirits,Boutique Spirit Brands is a leading Brand creation & manufacturing company of Branded alcoholic beverages in India.,Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",10000000.0,Unknown,9,2021
eShipz,2019.0,Bengaluru,Saas,Digital Shipping Platform for Creating best Pre & Post Shipping Experiences to Brands and Enterprise Customers. and help grow their business by 5X with automation & cloud technology.,"Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",700000.0,Unknown,9,2021
Pine Labs,1998.0,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,Invesco Developing Markets Fund,100000000.0,Unknown,9,2021
Paytail,2020.0,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,1500000.0,Seed,9,2021
4Fin,2021.0,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,1100000.0,Pre-Seed,9,2021
Atomberg Technologies,2012.0,Mumbai,Consumer Electronics,A maker of energy-efficient smart fans,"Manoj Meena, Sibabrata Das",Ka Enterprises,undisclosed,Unknown,9,2021
Genext Students,2013.0,Mumbai,Edtech,"LIVE online classes with expert tutors for K-12 for CBSE, ICSE and State Boards.","Ali Asgar Kagzi, Piyush Dhanuka",Navneet Education,undisclosed,Unknown,9,2021
immunitoAI,2020.0,Bengaluru,Biotechnology,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,1000000.0,Seed,9,2021
GameEon Studios,2013.0,Mumbai,Computer Games,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,Mumbai Angels Network,320000.0,Unknown,9,2021
Farmers Fresh Zone,2015.0,Kochi,Agritech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",800000.0,Pre-Series A,9,2021
Anveshan,2019.0,Bengaluru,Food Production,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",500000.0,Seed,9,2021
OckyPocky,2015.0,Gurugram,Edtech,OckyPocky is India's 1st interactive English learning app for preschool kids.,Amit Agrawal,"Sujeet Kumar, SucSEED Indovation Fund",undisclosed,Seed,9,2021
Coutloot,2016.0,Mumbai,Consumer Services,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",8000000.0,Unknown,9,2021
Nova Benefits,2020.0,Bengaluru,"Health, Wellness & Fitness",Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",10000000.0,Series A,9,2021
HomeLane,2014.0,Bengaluru,Interior Design,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",50000000.0,Series E,9,2021
Lido Learning,2019.0,Mumbai,E-Learning,LIDO is an ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,Sahil Sheth,Unilazer Ventures,10000000.0,Unknown,9,2021
Jar,2021.0,Bengaluru,Fintech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",4500000.0,Pre-Series A,9,2021
Peppermint,2019.0,Pune,Industrial Automation,Intelligent Housekeeping Robots for public and working spaces,"Runal Dahiwade, Miraj C Vora","Venture Catalysts, Indian Angel Network",600000.0,Unknown,9,2021
moneyHOP,2018.0,London,Financial Services,moneyHOP is India’s first cross-border neo bank.,Mayank Goyal,,1200000.0,Seed,9,2021
Codingal,2020.0,Bengaluru,Edtech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,"Vivek Prakash, Satyam Baranwal",,1200000.0,Seed,9,2021
Skit,2016.0,Bengaluru,Ai,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",WestBridge Capital,23000000.0,Series B,9,2021
Peak,2014.0,"Manchester, Greater Manchester",Information Technology & Services,Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,75000000.0,Series C,9,2021
REVOS,2017.0,Bengaluru,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,4000000.0,Series A,9,2021
Dezerv.,2021.0,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",7000000.0,Seed,9,2021
AppsForBharat,2020.0,Bengaluru,Product Studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Prashant Sachan,Elevation Capital,10000000.0,Series A,9,2021
Habbit,2020.0,Bengaluru,Edtech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,"Somnath Sandeep, Raghav Goyal",Ashok Goyal,320000.0,Pre-Seed,9,2021
Bikayi,2019.0,Hyderabad,E-Commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,10000000.0,Series A,9,2021
Sugar.fit,2021.0,Bengaluru,"Health, Wellness & Fitness","Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture",10000000.0,Unknown,9,2021
Dukaan,2020.0,Bengaluru,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000.0,Series A,9,2021
Vidyakul,2017.0,Gurugram,Edtech,Vidyakul is a group of academic experts.,"Tarun Saini, Gaurav Singhvi",We Founder Circle,500000.0,Bridge,9,2021
Goodmylk,2015.0,Bengaluru,Food & Beverages,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",1000000.0,Seed,9,2021
Fieldproxy,2016.0,Chennai,Saas,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",200000.0,Seed,9,2021
NeuroPixel.AI,2020.0,Bengaluru,Deep Tech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,,"Arvind Venugopal Nair, Amritendu Mukherjee",800000.0,Seed,9,2021
Elixia Tech Solutions,2011.0,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Sanket Sheth,Rajasthan Venture Capital Fund,1000000.0,Pre-Series A,9,2021
bitsCrunch,2020.0,Chennai,Blockchain,A consulting firm focused mainly on Data Analytics and DevOps.,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",700000.0,Seed,9,2021
Prolgae,2016.0,The Nilgiris,Biotechnology,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Aakas Sadasivam,Vijayan,200000.0,Seed,9,2021
Biddano,2016.0,Pune,"Health, Wellness & Fitness",India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",2000000.0,Pre-Series A,9,2021
Geniemode,2021.0,Gurugram,B2B,"Transforming global sourcing for retailers & suppliers in furniture, hard goods & fashion industry using technology.","Amit Sharma, Tanuj Gangwani",Info Edge Ventures,2000000.0,Unknown,9,2021
Sapio Analytics,2019.0,Mumbai,Computer Software,Sapio helps government create policies driven by the power of data and AI.,"Hardik Somani, Ashwin Srivastava, Shripal Jain, Viral Vora","Rachit Poddar, Rajesh Gupta",undisclosed,Unknown,9,2021
Neokred,2019.0,Bengaluru,Fintech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal",500000.0,Seed,9,2021
